window_id,id,window_start,window_end,target_date,target_distance_km,target_distance_label,target_seconds,target_time,window_days,activity_days,rest_days
0147e40d-85b6-4816-9048-86f03c3d6388_2016-04-29_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-04-02,2016-04-29,2016-04-29,5.0,5.0 km,1523.547904191617,25:24,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2016-04-29_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-04-02,2016-04-29,2016-04-29,10.0,10.0 km,2988.0,49:48,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2016-04-30_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-04-03,2016-04-30,2016-04-30,5.0,5.0 km,1551.3059701492539,25:51,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-05-08_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-04-11,2016-05-08,2016-05-08,5.0,5.0 km,1642.4306220095696,27:22,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-05-08_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-04-11,2016-05-08,2016-05-08,10.0,10.0 km,3221.510985116938,53:42,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2016-05-15_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2016-04-18,2016-05-15,2016-05-15,5.0,5.0 km,1516.6920731707316,25:17,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2017-07-13_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-06-16,2017-07-13,2017-07-13,5.0,5.0 km,1575.026086956522,26:15,28,3,25
0147e40d-85b6-4816-9048-86f03c3d6388_2017-07-15_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-06-18,2017-07-15,2017-07-15,5.0,5.0 km,1603.2193732193732,26:43,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2017-07-18_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-06-21,2017-07-18,2017-07-18,5.0,5.0 km,1580.5297029702972,26:21,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2017-07-21_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-06-24,2017-07-21,2017-07-21,5.0,5.0 km,1534.9265402843603,25:35,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2017-07-23_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-06-26,2017-07-23,2017-07-23,5.0,5.0 km,1521.6637426900586,25:22,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2017-07-25_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-06-28,2017-07-25,2017-07-25,5.0,5.0 km,1522.8443396226417,25:23,28,9,19
0147e40d-85b6-4816-9048-86f03c3d6388_2017-07-29_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-07-02,2017-07-29,2017-07-29,5.0,5.0 km,1393.4568345323742,23:13,28,10,18
0147e40d-85b6-4816-9048-86f03c3d6388_2017-07-29_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-07-02,2017-07-29,2017-07-29,10.0,10.0 km,3036.953596287703,50:37,28,10,18
0147e40d-85b6-4816-9048-86f03c3d6388_2017-08-01_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-07-05,2017-08-01,2017-08-01,5.0,5.0 km,1486.7777777777776,24:47,28,11,17
0147e40d-85b6-4816-9048-86f03c3d6388_2017-08-01_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-07-05,2017-08-01,2017-08-01,10.0,10.0 km,3081.798387096774,51:22,28,11,17
0147e40d-85b6-4816-9048-86f03c3d6388_2017-08-06_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-07-10,2017-08-06,2017-08-06,5.0,5.0 km,1577.26875,26:17,28,11,17
0147e40d-85b6-4816-9048-86f03c3d6388_2017-08-10_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-07-14,2017-08-10,2017-08-10,5.0,5.0 km,1487.7866242038215,24:48,28,10,18
0147e40d-85b6-4816-9048-86f03c3d6388_2017-08-13_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-07-17,2017-08-13,2017-08-13,5.0,5.0 km,1428.9207317073171,23:49,28,10,18
0147e40d-85b6-4816-9048-86f03c3d6388_2017-08-14_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-07-18,2017-08-14,2017-08-14,5.0,5.0 km,1497.4146981627296,24:57,28,11,17
0147e40d-85b6-4816-9048-86f03c3d6388_2017-08-21_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-07-25,2017-08-21,2017-08-21,5.0,5.0 km,1445.0,24:05,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2017-08-21_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-07-25,2017-08-21,2017-08-21,10.0,10.0 km,2976.0,49:36,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2017-08-31_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-08-04,2017-08-31,2017-08-31,5.0,5.0 km,1681.4337016574586,28:01,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2017-08-31_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-08-04,2017-08-31,2017-08-31,10.0,10.0 km,3279.4811320754716,54:39,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2017-09-02_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-08-06,2017-09-02,2017-09-02,5.0,5.0 km,1439.5167597765362,24:00,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2017-09-24_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-08-28,2017-09-24,2017-09-24,5.0,5.0 km,1438.2864197530864,23:58,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2017-09-26_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-08-30,2017-09-26,2017-09-26,5.0,5.0 km,1422.3939393939395,23:42,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2017-09-28_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-01,2017-09-28,2017-09-28,5.0,5.0 km,1553.1666666666667,25:53,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2017-09-29_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-02,2017-09-29,2017-09-29,5.0,5.0 km,1448.4526315789474,24:08,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-01_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-04,2017-10-01,2017-10-01,5.0,5.0 km,1578.189655172414,26:18,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-01_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-04,2017-10-01,2017-10-01,10.0,10.0 km,3192.494680851064,53:12,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-03_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-06,2017-10-03,2017-10-03,5.0,5.0 km,1382.3156732891832,23:02,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-03_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-06,2017-10-03,2017-10-03,10.0,10.0 km,2942.281767955801,49:02,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-06_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-09,2017-10-06,2017-10-06,5.0,5.0 km,1430.301775147929,23:50,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-07_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-10,2017-10-07,2017-10-07,5.0,5.0 km,1619.3343023255813,26:59,28,9,19
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-07_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-10,2017-10-07,2017-10-07,10.0,10.0 km,3616.6496815286623,01:00:17,28,9,19
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-10_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-13,2017-10-10,2017-10-10,5.0,5.0 km,1412.9243243243243,23:33,28,10,18
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-13_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-16,2017-10-13,2017-10-13,5.0,5.0 km,1443.3068783068782,24:03,28,11,17
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-15_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-18,2017-10-15,2017-10-15,5.0,5.0 km,1346.2608695652175,22:26,28,12,16
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-15_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-09-18,2017-10-15,2017-10-15,10.0,10.0 km,2848.389534883721,47:28,28,12,16
0147e40d-85b6-4816-9048-86f03c3d6388_2017-10-29_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-10-02,2017-10-29,2017-10-29,5.0,5.0 km,1389.0724637681158,23:09,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2017-11-03_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-10-07,2017-11-03,2017-11-03,5.0,5.0 km,1426.8469387755104,23:47,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2017-11-04_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-10-08,2017-11-04,2017-11-04,5.0,5.0 km,1625.1805359661494,27:05,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2017-11-04_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-10-08,2017-11-04,2017-11-04,10.0,10.0 km,3137.6107784431138,52:18,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2017-11-17_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-10-21,2017-11-17,2017-11-17,5.0,5.0 km,1480.6666666666667,24:41,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2017-11-24_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-10-28,2017-11-24,2017-11-24,5.0,5.0 km,1427.4612326043737,23:47,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2017-12-24_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-11-27,2017-12-24,2017-12-24,5.0,5.0 km,1948.3674121405752,32:28,28,1,27
0147e40d-85b6-4816-9048-86f03c3d6388_2017-12-26_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-11-29,2017-12-26,2017-12-26,5.0,5.0 km,1553.68,25:54,28,2,26
0147e40d-85b6-4816-9048-86f03c3d6388_2017-12-28_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-12-01,2017-12-28,2017-12-28,5.0,5.0 km,1519.5682539682539,25:20,28,3,25
0147e40d-85b6-4816-9048-86f03c3d6388_2018-01-21_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-12-25,2018-01-21,2018-01-21,5.0,5.0 km,1610.075163398693,26:50,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2018-01-22_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-12-26,2018-01-22,2018-01-22,5.0,5.0 km,1567.6941896024464,26:08,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2018-01-22_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-12-26,2018-01-22,2018-01-22,10.0,10.0 km,3110.5555555555557,51:51,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2018-01-26_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2017-12-30,2018-01-26,2018-01-26,5.0,5.0 km,1469.4218455743878,24:29,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2018-01-28_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-01-01,2018-01-28,2018-01-28,5.0,5.0 km,1349.90625,22:30,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2018-01-28_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-01-01,2018-01-28,2018-01-28,10.0,10.0 km,2892.2894736842104,48:12,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2018-03-05_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-02-06,2018-03-05,2018-03-05,5.0,5.0 km,1699.1825396825398,28:19,28,1,27
0147e40d-85b6-4816-9048-86f03c3d6388_2018-03-14_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-02-15,2018-03-14,2018-03-14,5.0,5.0 km,1649.1483870967743,27:29,28,3,25
0147e40d-85b6-4816-9048-86f03c3d6388_2018-03-17_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-02-18,2018-03-17,2018-03-17,5.0,5.0 km,1807.5263157894738,30:08,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2018-03-19_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-02-20,2018-03-19,2018-03-19,5.0,5.0 km,1687.7745664739884,28:08,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2018-03-19_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-02-20,2018-03-19,2018-03-19,10.0,10.0 km,3335.9032258064517,55:36,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2018-04-15_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-03-19,2018-04-15,2018-04-15,5.0,5.0 km,1617.85,26:58,28,2,26
0147e40d-85b6-4816-9048-86f03c3d6388_2018-04-15_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-03-19,2018-04-15,2018-04-15,10.0,10.0 km,3294.0,54:54,28,2,26
0147e40d-85b6-4816-9048-86f03c3d6388_2018-04-15_15.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-03-19,2018-04-15,2018-04-15,15.0,15.0 km,5036.184210526316,01:23:56,28,2,26
0147e40d-85b6-4816-9048-86f03c3d6388_2018-04-15_21.1,0147e40d-85b6-4816-9048-86f03c3d6388,2018-03-19,2018-04-15,2018-04-15,21.1,21.1 km,7160.372549019608,01:59:20,28,2,26
0147e40d-85b6-4816-9048-86f03c3d6388_2018-04-17_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-03-21,2018-04-17,2018-04-17,5.0,5.0 km,1521.272965879265,25:21,28,2,26
0147e40d-85b6-4816-9048-86f03c3d6388_2018-04-26_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-03-30,2018-04-26,2018-04-26,5.0,5.0 km,1534.2611464968154,25:34,28,3,25
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-01_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-04,2018-05-01,2018-05-01,5.0,5.0 km,1501.5615384615385,25:02,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-01_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-04,2018-05-01,2018-05-01,10.0,10.0 km,3064.0666666666666,51:04,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-06_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-09,2018-05-06,2018-05-06,5.0,5.0 km,1632.689655172414,27:13,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-08_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-11,2018-05-08,2018-05-08,5.0,5.0 km,1676.9421487603306,27:57,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-08_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-11,2018-05-08,2018-05-08,10.0,10.0 km,3270.3314763231197,54:30,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-12_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-15,2018-05-12,2018-05-12,5.0,5.0 km,1585.8771428571429,26:26,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-12_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-15,2018-05-12,2018-05-12,10.0,10.0 km,3176.851632047478,52:57,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-14_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-17,2018-05-14,2018-05-14,5.0,5.0 km,1613.2622950819673,26:53,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-23_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-26,2018-05-23,2018-05-23,5.0,5.0 km,1614.892857142857,26:55,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-27_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-30,2018-05-27,2018-05-27,5.0,5.0 km,1634.9376947040498,27:15,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-05-27_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-04-30,2018-05-27,2018-05-27,10.0,10.0 km,3355.561403508772,55:56,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-06-03_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-05-07,2018-06-03,2018-06-03,5.0,5.0 km,1438.7277777777776,23:59,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-06-03_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-05-07,2018-06-03,2018-06-03,10.0,10.0 km,2964.377049180328,49:24,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-06-08_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-05-12,2018-06-08,2018-06-08,5.0,5.0 km,1503.870897155361,25:04,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-06-17_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-05-21,2018-06-17,2018-06-17,5.0,5.0 km,1595.7841945288753,26:36,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2018-06-22_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-05-26,2018-06-22,2018-06-22,5.0,5.0 km,1614.8079268292684,26:55,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2018-07-10_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-06-13,2018-07-10,2018-07-10,5.0,5.0 km,1562.7675159235669,26:03,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2018-07-12_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-06-15,2018-07-12,2018-07-12,5.0,5.0 km,1532.0,25:32,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2018-07-13_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-06-16,2018-07-13,2018-07-13,5.0,5.0 km,1501.7364864864865,25:02,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2018-07-17_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-06-20,2018-07-17,2018-07-17,5.0,5.0 km,1662.9442815249267,27:43,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2018-07-18_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-06-21,2018-07-18,2018-07-18,5.0,5.0 km,1764.7878787878788,29:25,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2018-08-06_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-07-10,2018-08-06,2018-08-06,5.0,5.0 km,1596.8734567901236,26:37,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-08-08_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-07-12,2018-08-08,2018-08-08,5.0,5.0 km,2932.4285714285716,48:52,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-08-12_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-07-16,2018-08-12,2018-08-12,5.0,5.0 km,1770.9041095890411,29:31,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2018-08-13_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-07-17,2018-08-13,2018-08-13,5.0,5.0 km,1502.9036544850499,25:03,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-08-13_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-07-17,2018-08-13,2018-08-13,10.0,10.0 km,3220.5731707317073,53:41,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-08-14_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-07-18,2018-08-14,2018-08-14,5.0,5.0 km,1558.6645161290323,25:59,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-08-15_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-07-19,2018-08-15,2018-08-15,5.0,5.0 km,1401.020725388601,23:21,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-08-15_10.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-07-19,2018-08-15,2018-08-15,10.0,10.0 km,2986.156626506024,49:46,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-08-16_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-07-20,2018-08-16,2018-08-16,5.0,5.0 km,1534.3344155844156,25:34,28,9,19
0147e40d-85b6-4816-9048-86f03c3d6388_2018-09-05_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-08-09,2018-09-05,2018-09-05,5.0,5.0 km,1600.3389121338914,26:40,28,9,19
0147e40d-85b6-4816-9048-86f03c3d6388_2018-09-07_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-08-11,2018-09-07,2018-09-07,5.0,5.0 km,1548.0,25:48,28,10,18
0147e40d-85b6-4816-9048-86f03c3d6388_2018-09-30_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-09-03,2018-09-30,2018-09-30,5.0,5.0 km,1373.9272727272728,22:54,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2018-10-04_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-09-07,2018-10-04,2018-10-04,5.0,5.0 km,1586.916905444126,26:27,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2018-10-08_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-09-11,2018-10-08,2018-10-08,5.0,5.0 km,1535.7486910994767,25:36,28,4,24
0147e40d-85b6-4816-9048-86f03c3d6388_2018-10-10_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-09-13,2018-10-10,2018-10-10,5.0,5.0 km,1613.013698630137,26:53,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2018-10-15_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-09-18,2018-10-15,2018-10-15,5.0,5.0 km,1708.7448071216616,28:29,28,5,23
0147e40d-85b6-4816-9048-86f03c3d6388_2018-10-17_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-09-20,2018-10-17,2018-10-17,5.0,5.0 km,1632.6774193548385,27:13,28,6,22
0147e40d-85b6-4816-9048-86f03c3d6388_2018-10-22_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-09-25,2018-10-22,2018-10-22,5.0,5.0 km,1585.583596214511,26:26,28,7,21
0147e40d-85b6-4816-9048-86f03c3d6388_2018-10-23_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-09-26,2018-10-23,2018-10-23,5.0,5.0 km,1691.2208436724566,28:11,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-10-25_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-09-28,2018-10-25,2018-10-25,5.0,5.0 km,1559.4717444717444,25:59,28,9,19
0147e40d-85b6-4816-9048-86f03c3d6388_2018-10-27_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-09-30,2018-10-27,2018-10-27,5.0,5.0 km,1338.6421052631579,22:19,28,10,18
0147e40d-85b6-4816-9048-86f03c3d6388_2018-11-05_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-10-09,2018-11-05,2018-11-05,5.0,5.0 km,1657.1605839416059,27:37,28,8,20
0147e40d-85b6-4816-9048-86f03c3d6388_2018-11-07_5.0,0147e40d-85b6-4816-9048-86f03c3d6388,2018-10-11,2018-11-07,2018-11-07,5.0,5.0 km,1582.6833773087071,26:23,28,8,20
